D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_56_776.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_56_776.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_56_776.jpg,0,0,0,2.385731E-05
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_56_850.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_56_850.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_56_850.jpg,0,0,0,2.395059E-05
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_56_925.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_56_925.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_56_925.jpg,0,0,0,2.387071E-05
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_57_000.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_57_000.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_57_000.jpg,0,0,0,2.396192E-05
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_57_075.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_57_075.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_57_075.jpg,0,0,0,2.411966E-05
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_57_150.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_57_150.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_57_150.jpg,0,0,0,2.358342E-05
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_57_226.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_57_226.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_57_226.jpg,0,0,0,2.367712E-05
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_57_301.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_57_301.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_57_301.jpg,0,0,0,2.356502E-05
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_57_375.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_57_375.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_57_375.jpg,0,0,0,2.355532E-05
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_57_451.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_57_451.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_57_451.jpg,0,0,0,2.382054E-05
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_57_527.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_57_527.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_57_527.jpg,0,0.1525269,0,0.03178088
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_57_603.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_57_603.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_57_603.jpg,0,0.3775128,0,0.3100569
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_57_680.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_57_680.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_57_680.jpg,0,0.6128343,0,0.801488
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_57_755.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_57_755.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_57_755.jpg,0,0.8020831,0,1.337235
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_57_831.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_57_831.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_57_831.jpg,0,1,0,2.270711
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_57_907.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_57_907.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_57_907.jpg,0,1,0,3.219465
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_57_984.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_57_984.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_57_984.jpg,0,1,0,4.158514
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_58_060.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_58_060.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_58_060.jpg,0,1,0,5.091059
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_58_136.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_58_136.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_58_136.jpg,0,1,0,5.78572
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_58_213.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_58_213.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_58_213.jpg,0,1,0,6.705585
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_58_290.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_58_290.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_58_290.jpg,0,1,0,7.618238
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_58_365.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_58_365.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_58_365.jpg,0,1,0,8.523811
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_58_443.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_58_443.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_58_443.jpg,0,1,0,9.422323
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_58_520.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_58_520.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_58_520.jpg,0,1,0,10.3138
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_58_597.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_58_597.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_58_597.jpg,-0.1,1,0,10.97524
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_58_674.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_58_674.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_58_674.jpg,0,1,0,11.66873
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_58_752.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_58_752.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_58_752.jpg,0,1,0,12.62333
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_58_830.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_58_830.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_58_830.jpg,0,1,0,13.3091
D:\Programming Projects\Self-Driving_Project\IMG\center_2021_08_05_15_07_58_910.jpg,D:\Programming Projects\Self-Driving_Project\IMG\left_2021_08_05_15_07_58_910.jpg,D:\Programming Projects\Self-Driving_Project\IMG\right_2021_08_05_15_07_58_910.jpg,0,1,0,14.45626
